name,category,quantity,price,location,size,notes
Japanese Maple,Trees,15,45.99,Section A,5 gallon,Red foliage variety
Red Rose Bush,Shrubs,23,19.99,Section B,3 gallon,Thornless variety
Blue Spruce,Trees,8,65.00,Section A,7 gallon,Colorado Blue
Lavender,Perennials,42,12.50,Section C,1 gallon,French variety
Oak Sapling,Trees,12,35.00,Section A,5 gallon,White Oak
Hydrangea,Shrubs,18,28.99,Section B,3 gallon,Blue blooms
Daylily Mix,Perennials,55,8.99,Section C,1 gallon,Assorted colors
Weeping Willow,Trees,5,89.99,Section A,10 gallon,Fast growing
Boxwood,Shrubs,31,15.99,Section B,2 gallon,For hedges
Hosta,Perennials,38,11.99,Section C,1 gallon,Shade loving
Dogwood,Trees,9,55.00,Section A,7 gallon,Pink flowering
Azalea,Shrubs,27,22.50,Section B,3 gallon,Spring blooms
Black-Eyed Susan,Perennials,46,9.99,Section C,1 gallon,Drought tolerant
Magnolia,Trees,6,125.00,Section A,15 gallon,Southern variety
Butterfly Bush,Shrubs,20,24.99,Section B,5 gallon,Attracts pollinators
